Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
Blog Writer,https://blog-writer.io/,"Tools, Tips, and Tricks for designing and building your ghostly blog!",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1711739641830-1711738897341-openart-image_DlZFoqZu_1711738465188_raw.jpg?width=75&height=75&resize=contain,False,['developers'],12334,True,,False,5246235,False,,,,#FF1A75,en,12334,3,False,2b8d87e1-251d-40d7-ba52-e881bebd962f,1711036132,1728833308
Xurxodev,https://xurxodev.com/,"Aprende a crear código más mantenible y testable. Suscríbete para recibir mi último contenido público en tu email, contenido exclusivo en tu email y novedades sobre mis cursos.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1663087458712-256506a9078afeaf026655924497deb6.jpeg?width=75&height=75&resize=contain,False,['developers'],4401,True,0,True,315091,False,,,,#4169e1,es,4401,10,False,7ade2376-7d39-4a41-9c2b-c94c7dc4ffda,1663044316,1735830025
Unzip.dev,https://unzip.dev/,"5-min developer trends. With over 3700 busy tech founders. Zero spam, sent once per month: low volume, high quality.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1706752906760-favicon.png?width=75&height=75&resize=contain,False,['developers'],3922,True,,False,1303073,False,,,,#FF1A75,en,3922,0,False,d2c02959-06c1-4fc2-a069-5e5b4003702e,1665700513,1736191915
iOS Code Review Newsletter,https://ioscodereview.com/,"Bi-weekly newsletter with code improvement tips for Swift, SwiftUI, iOS, and general software engineering topics. Curated from the Apple developer community",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1725631760317-logo.png?width=75&height=75&resize=contain,False,['developers'],3494,True,,False,599460,False,,,,#ff6a00,en,3494,17,True,881cb988-64b9-4a7c-97e1-82dd6bfee788,1675516977,1733311850
Michael Lazebny,https://lazebny.io/,Flutter & Dart development,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1723629772858-favicon.ico?width=75&height=75&resize=contain,False,['developers'],545,True,201,True,9467139,False,,,,#2B2D42,en,2555,2,True,87a44efc-a2da-4f22-9e32-508da32bd2ec,1713208605,1736157586
The Backlog,https://blog.lsantos.dev/,"Backlog é uma newsletter que combina opiniões afiadas, história da computação e insights sobre tecnologia, explorando o passado, presente e futuro do universo digital de forma única e instigante.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1733795430314-Backlog%20logo%205.png?width=75&height=75&resize=contain,False,['developers'],2256,True,,False,295004,False,,,,#4b15a8,pt-br,2256,1,False,0d56cfc8-e1d3-4a0f-854f-f0e29a8c4cdb,1675061795,1735124416
Onvo,https://blog.onvo.ai/,Your SDK for building better dashboards and reports using AI,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1727832719110-square-inset--1--1.png?width=75&height=75&resize=contain,False,['developers'],1048,True,,False,88615214,False,,,,#3b82f6,en,1048,3,True,a28f3232-092f-4943-94b7-58ccf8d8b1d3,1723797490,1733986754
Internal Note,https://internalnote.com/,A blog about Zendesk with a focus on development and the Sunshine platform.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1675859721354-internalnote_green-copy.svg?width=75&height=75&resize=contain,False,['developers'],972,True,,False,44791145,False,,,,#285ff4,en,972,2,True,8a2a81d1-2803-4f6a-a8df-56a03a33f191,1673713291,1736240428
Android Weekly,https://androidweekly.io/,"Write the code, Change the world",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1714093202717-apple-touch-icon-114x114-1.png?width=75&height=75&resize=contain,False,['developers'],949,True,0,True,292008,False,,,,#FF1A75,zh,949,0,True,b705ad4c-90a2-4ad4-a991-a9a583cc41d1,1714093205,1712075590
Nat Bennett,https://www.simplermachines.com/,Personal essays about software development,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1671220639881-1665792526203-DSC_0321.jpg?width=75&height=75&resize=contain,False,['developers'],757,True,0,True,1972040,False,,,,#404040,en,757,2,True,2dbea431-1199-41ed-b2b7-125efebf0ae9,1660544135,1735692445
Rahul Nath,https://www.rahulpnath.com/,"Programmer, Blogger, YouTuber, Runner",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1666115308916-logo-512x512.png?width=75&height=75&resize=contain,False,['developers'],684,True,,False,959011,False,,,,#823EB7,en,684,1,True,3a902416-bde0-4d20-89d6-0492a0772951,1666115310,1735537023
Indie Watch,https://indie.watch/,"Apps, developers, and their stories.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673928989185-Favicon_v2.png?width=75&height=75&resize=contain,False,['developers'],624,True,,False,602325,False,,,,#065cac,en,624,15,False,0837dfcd-dd21-4a8e-a440-71ea148ee397,1667172430,1714492814
Filmstorm,https://filmstorm.net/,MotionVault and Game Development Resources,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1700781287400-small_Logo_Dark_1_2_874658240c.png?width=75&height=75&resize=contain,False,['developers'],535,True,,False,3891064,False,,,,#010101,en,535,1,True,99c81faa-d048-4a4f-98ae-7874ae2cfe72,1700221886,1713605552
Automate the Boring Stuff with GO,https://www.automatetheboringstuffwithgo.com/,Automate the Boring Stuff with Go/GoLang is inspired by Automate the Boring Stuff with Python and serves as the beginner-friendly Free E-book to getting started with Go,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1670604007410-pub-logo.png?width=75&height=75&resize=contain,False,['developers'],507,True,0,True,252432474,False,,,,#8CC5E7,en,507,3,True,bc3bdbcb-a2da-47ad-b432-3faf2c7e4e02,1670604008,1731694425
Everyday Series,https://everydayseries.com/,Enhance your productivity by adding AI to your everyday work. Hassle free.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1682284838519-logoES-copy.png?width=75&height=75&resize=contain,False,['developers'],480,True,,False,2982266,False,,,,#008080,en,480,1,True,7c411c54-7728-41b8-9214-913bea5fe784,1674301502,1736097785
Sources & Methods,https://sourcesmethods.com/,"Blog and monthly digest of Cyber Threat Intelligence (CTI) information sources, tools, articles, events, and helpful tips.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1720719810096-srcmtd-logo-512-1.png?width=75&height=75&resize=contain,False,['developers'],463,True,0,True,19734826,False,,,,#3661e3,en,463,23,True,b32b8356-3f4f-4367-b6ce-fb1708e8a8c0,1688693364,1731738069
Mindsers Blog,https://mindsers.blog/,"Thoughts and stories focusing on helping developers grow their coding skills, their soft skills, their businesses, their legacy, etc. from an experienced Lead Software Engineer and entrepreneur.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1667972578136-1667972535373-1660310162666-apple-icon-180x180.png?width=75&height=75&resize=contain,False,['developers'],282,True,12,True,319450,False,,,,#2779B0,fr,402,0,True,1ad96694-ff28-4480-8d89-197e93d9bfce,1660309739,1719306207
